,per_rat,time
0,1.2732080551030844,0.8666666666666666
1,1.2736415348538457,3.999999999999996
2,1.2740750146046065,2.7666666666666604
3,1.2745084943553675,0.4666666666666666
4,1.2749419741061283,2.400000000000001
5,1.275375453856889,4.099999999999995
6,1.2758089336076504,6.766666666666652
7,1.2762424133584114,1.2999999999999987
8,1.2766758931091724,1.8333333333333304
9,1.2771093728599334,3.4666666666666632
10,1.2775428526106944,4.233333333333322
11,1.2779763323614552,4.333333333333329
12,1.2784098121122165,1.666666666666664
13,1.2788432918629773,1.7666666666666688
14,1.2792767716137383,1.5666666666666682
15,1.2797102513644991,2.1333333333333293
16,1.2801437311152604,3.3666666666666645
17,1.2805772108660212,1.1
18,1.2810106906167822,1.6000000000000016
19,1.2814441703675432,1.5333333333333348
20,1.2818776501183042,39.600000000000314
21,1.2823111298690653,3.0333333333333323
22,1.2827446096198265,2.200000000000002
23,1.2831780893705873,2.4333333333333345
24,1.2836115691213479,4.233333333333328
25,1.2840450488721091,0.7
26,1.2844785286228702,0.7
27,1.2849120083736312,2.066666666666669
28,1.2853454881243922,0.7999999999999999
29,1.2857789678751532,14.166666666666627
30,1.2862124476259142,2.1333333333333355
31,1.286645927376675,1.4000000000000008
32,1.287079407127436,3.5333333333333306
33,1.287512886878197,0.7999999999999999
34,1.287946366628958,1.0333333333333332
35,1.2883798463797191,3.2666666666666653
36,1.2888133261304802,1.3999999999999984
37,1.289246805881241,1.1333333333333335
38,1.289680285632002,2.0333333333333297
39,1.290113765382763,82.63333333333121
40,1.2905472451335243,2.2333333333333347
41,1.2909807248842848,1.9000000000000024
42,1.2914142046350459,0.7999999999999999
43,1.291847684385807,2.6333333333333337
44,1.292281164136568,0.6
45,1.2927146438873292,2.1333333333333355
46,1.29314812363809,1.2333333333333325
47,1.2935816033888508,2.7666666666666604
48,1.294015083139612,1.2333333333333338
49,1.294448562890373,3.5999999999999908
50,1.294882042641134,1.8666666666666687
51,1.2953155223918948,1.1333333333333335
52,1.295749002142656,1.500000000000001
53,1.296182481893417,1.8666666666666687
54,1.2966159616441781,1.9000000000000024
55,1.297049441394939,1.0666666666666669
56,1.2974829211457,4.133333333333328
57,1.2979164008964608,1.6333333333333349
58,1.2983498806472218,0.8333333333333333
59,1.2987833603979828,2.2333333333333347
60,1.2992168401487438,3.9666666666666623
61,1.2996503198995049,0.933333333333333
62,1.300083799650266,1.166666666666667
63,1.3005172794010271,19.63333333333346
64,1.3009507591517877,1.0
65,1.3013842389025487,2.7666666666666666
66,1.3018177186533098,5.8333333333333215
67,1.3022511984040708,56.53333333333269
68,1.3026846781548318,2.9333333333333265
69,1.3031181579055928,5.199999999999991
70,1.3035516376563538,9.866666666666642
71,1.3039851174071146,1.166666666666667
72,1.3044185971578757,2.399999999999995
73,1.3048520769086367,3.5333333333333306
74,1.3052855566593975,0.6333333333333333
75,1.3057190364101587,8.66666666666664
76,1.3061525161609198,0.5333333333333329
77,1.3065859959116806,3.066666666666665
78,1.3070194756624416,15.933333333333287
79,1.3074529554132026,4.866666666666659
80,1.3078864351639636,14.399999999999952
81,1.3083199149147249,2.333333333333335
82,1.3087533946654857,1.0
83,1.3091868744162467,0.8333333333333333
84,1.3096203541670075,1.7333333333333354
85,1.3100538339177683,20.433333333333508
86,1.3104873136685296,2.199999999999996
87,1.3109207934192906,1.4000000000000008
88,1.3113542731700516,3.5999999999999908
89,1.3117877529208126,1.500000000000001
90,1.3122212326715736,3.2666666666666653
91,1.3126547124223344,15.166666666666625
92,1.3130881921730957,1.0333333333333332
93,1.3135216719238565,0.8666666666666666
94,1.3139551516746175,26.133333333333784
95,1.3143886314253783,1.4333333333333345
96,1.3148221111761396,9.466666666666637
97,1.3152555909269004,30.333333333333997
98,1.3156890706776614,2.2666666666666684
99,1.3161225504284224,6.466666666666647
100,1.3165560301791834,0.7666666666666666
101,1.3169895099299445,1.1
102,1.3174229896807057,9.966666666666642
103,1.3178564694314665,40.266666666666936
104,1.3182899491822273,0.8333333333333333
105,1.3187234289329883,0.7333333333333333
106,1.3191569086837494,2.7333333333333334
107,1.3195903884345104,0.7333333333333333
108,1.3200238681852714,7.766666666666648
109,1.3204573479360324,1.2999999999999987
110,1.3208908276867934,0.833333333333333
111,1.3213243074375542,0.8333333333333333
112,1.3217577871883153,32.03333333333408
113,1.3221912669390763,1.3000000000000007
114,1.322624746689837,0.9666666666666665
115,1.3230582264405983,3.7999999999999905
116,1.3234917061913594,4.233333333333328
117,1.3239251859421204,17.23333333333335
118,1.3243586656928812,23.30000000000032
119,1.3247921454436422,2.066666666666669
120,1.3252256251944032,23.633333333333674
121,1.3256591049451645,3.299999999999998
122,1.3260925846959253,7.06666666666665
123,1.3265260644466863,0.9333333333333332
124,1.326959544197447,4.133333333333328
125,1.327393023948208,50.699999999999676
126,1.3278265036989692,40.86666666666691
127,1.3282599834497302,35.30000000000055
128,1.3286934632004912,38.966666666667024
129,1.3291269429512522,2.7
130,1.3295604227020132,1.4666666666666683
131,1.3299939024527743,1.0333333333333332
132,1.3304273822035348,18.566666666666737
133,1.3308608619542959,13.899999999999961
134,1.3312943417050571,1.5666666666666644
135,1.331727821455818,6.899999999999985
136,1.3321613012065792,1.2000000000000004
137,1.3325947809573402,80.4333333333313
138,1.3330282607081008,51.033333333333
139,1.333461740458862,4.499999999999994
140,1.333895220209623,3.299999999999998
141,1.334328699960384,3.866666666666657
142,1.334762179711145,5.766666666666651
143,1.3351956594619059,1.166666666666667
144,1.3356291392126671,17.566666666666688
145,1.336062618963428,2.400000000000001
